,NU_IDADE,NOTA_MEDIA,sexo,raca,natureza,pai,mae,renda
252,17,473.84,0,parda,publica,3,2,C
253,17,610.7,1,branca,publica,2,4,G
254,18,529.66,1,branca,privada,3,2,G
255,17,479.18,1,branca,publica,3,4,G
256,17,590.6,1,branca,exterior,4,3,G
257,18,575.92,1,branca,privada,5,2,I
258,17,521.64,1,parda,publica,2,4,D
259,17,607.84,1,indigena,publica,3,4,D
260,17,609.54,1,branca,publica,3,2,C
261,22,530.22,1,preta,publica,1,1,C
262,17,508.08,1,parda,publica,3,2,E
263,18,492.44,1,branca,publica,4,2,D
264,18,597.78,0,branca,publica,3,2,D
265,18,519.78,0,branca,publica,3,2,C
266,18,608.02,1,branca,publica,4,2,D
267,18,484.16,1,parda,publica,2,2,C
268,18,543.72,0,branca,publica,5,2,D
269,17,574.16,1,parda,publica,2,2,G
270,17,532.68,1,branca,publica,4,4,F
271,17,576.64,0,branca,exterior,3,4,H
272,18,520.16,1,branca,publica,4,4,D
273,17,497.76,0,preta,publica,3,2,B
274,17,581.2,1,parda,publica,2,5,J
275,20,456,0,parda,publica,3,3,E
276,18,546.06,0,branca,publica,4,4,L
277,18,486.56,1,branca,publica,2,2,F
278,17,655.24,0,preta,privada,4,4,F
279,17,464.54,1,branca,publica,3,2,E
280,18,512.02,1,branca,publica,4,4,C
281,18,612.36,0,parda,privada,4,4,J
282,18,632.52,0,branca,publica,4,4,J
283,17,499.76,0,branca,publica,3,3,H
284,18,515.9,1,preta,publica,4,4,A
285,19,510.02,1,parda,publica,4,2,D
286,17,567.48,1,parda,publica,3,3,C
287,17,535.6,0,branca,publica,3,2,C
288,17,495.94,1,branca,publica,2,2,E
289,17,579.46,1,preta,privada,4,4,O
290,18,471.46,1,branca,publica,3,2,I
291,17,559.38,1,branca,publica,3,4,H
292,17,506.66,1,branca,publica,4,2,B
293,17,545.54,1,parda,publica,4,2,G
294,17,570.7,1,parda,publica,4,4,B
295,17,543.18,1,preta,publica,4,3,C
296,18,587.4,1,branca,publica,3,2,H
297,18,724.96,1,branca,privada,4,4,E
298,18,449.48,1,parda,publica,3,3,G
299,17,577.18,1,branca,publica,3,3,D
300,18,519.64,0,parda,publica,4,3,B
301,17,701.18,1,parda,publica,3,4,F
302,18,554.66,1,branca,publica,5,2,G
303,17,666.6,1,amarela,publica,3,4,G
